Date,Hour,Imports,Exports
19-Jan-14,6,"1,108","2,582"
19-Jan-14,7,991,"2,462"
19-Jan-14,8,995,"2,445"
19-Jan-14,9,"1,020","2,628"
19-Jan-14,10,744,"2,515"
19-Jan-14,11,894,"2,471"
19-Jan-14,12,486,"2,329"
19-Jan-14,13,135,"2,220"
19-Jan-14,14,195,"2,222"
19-Jan-14,15,191,"2,357"
19-Jan-14,16,75,"2,270"
19-Jan-14,17,665,"2,000"
19-Jan-14,18,"1,094","1,827"
19-Jan-14,19,916,"1,720"
19-Jan-14,20,638,"1,917"
19-Jan-14,21,421,"1,795"
19-Jan-14,22,600,"2,034"
19-Jan-14,23,415,"2,012"
19-Jan-14,24,653,"1,851"
20-Jan-14,1,246,"1,797"
20-Jan-14,2,130,"1,655"
20-Jan-14,3,246,"1,649"
20-Jan-14,4,246,"1,779"
20-Jan-14,5,246,"2,053"
20-Jan-14,6,246,"1,845"
20-Jan-14,7,347,"1,793"
20-Jan-14,8,491,"1,766"
20-Jan-14,9,682,"2,097"
20-Jan-14,10,720,"2,231"
20-Jan-14,11,671,"1,848"
20-Jan-14,12,959,"2,130"
20-Jan-14,13,"1,225","2,461"
20-Jan-14,14,"1,351","2,632"
20-Jan-14,15,"1,417","2,648"
20-Jan-14,16,"1,281","2,607"
20-Jan-14,17,821,"2,254"
20-Jan-14,18,"1,026","1,833"
20-Jan-14,19,"1,410","1,925"
20-Jan-14,20,"1,176","1,878"
20-Jan-14,21,557,"1,901"
20-Jan-14,22,356,"2,031"
20-Jan-14,23,"1,066","1,779"
20-Jan-14,24,"1,115","1,650"
21-Jan-14,1,968,"2,150"
21-Jan-14,2,661,"2,488"
21-Jan-14,3,"1,229","2,297"
21-Jan-14,4,"1,288","2,118"
21-Jan-14,5,"1,228","2,341"
21-Jan-14,6,"1,022","2,574"
21-Jan-14,7,650,"2,773"
21-Jan-14,8,559,"2,718"
21-Jan-14,9,608,"2,566"
21-Jan-14,10,801,"2,428"
21-Jan-14,11,445,"1,950"
21-Jan-14,12,405,"2,238"
21-Jan-14,13,232,"2,278"
21-Jan-14,14,462,"2,712"
21-Jan-14,15,752,"2,826"
21-Jan-14,16,616,"2,229"
21-Jan-14,17,472,"1,996"
21-Jan-14,18,770,"1,859"
21-Jan-14,19,924,"1,927"
21-Jan-14,20,639,"1,684"
21-Jan-14,21,770,"1,712"
21-Jan-14,22,"1,071","2,473"
21-Jan-14,23,"1,050","2,481"
21-Jan-14,24,406,"2,358"
22-Jan-14,1,992,"3,463"
22-Jan-14,2,932,"3,488"
22-Jan-14,3,232,"3,173"
22-Jan-14,4,375,"3,174"
22-Jan-14,5,467,"3,390"
22-Jan-14,6,157,"3,401"
22-Jan-14,7,221,"2,728"
22-Jan-14,8,276,"2,121"
22-Jan-14,9,426,"1,845"
22-Jan-14,10,851,"2,718"
